epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3693.77,1.5488,1.34577,0.95039,0.74973,0.42622,0.6192,0.39957,1.23203,0.80784,0.86033,0.00037016,0.00037016,0.00037016
2,7401.65,1.372,0.81455,0.90544,0.7703,0.44641,0.63699,0.43242,1.14184,0.66448,0.85075,0.000703839,0.000703839,0.000703839
3,11141.3,1.31789,0.73914,0.89638,0.77761,0.47208,0.64896,0.44508,1.08357,0.60281,0.8413,0.00100086,0.00100086,0.00100086
4,14906.5,1.27007,0.6933,0.88736,0.79675,0.48812,0.66885,0.45956,1.06484,0.58521,0.84026,0.000946016,0.000946016,0.000946016
5,18721.4,1.23474,0.6595,0.87955,0.80148,0.48576,0.66666,0.4696,1.02777,0.55886,0.83506,0.000891022,0.000891022,0.000891022
6,22712.5,1.205,0.63793,0.87456,0.78558,0.49891,0.66796,0.46924,1.01478,0.555,0.83312,0.000836027,0.000836027,0.000836027
7,26449.5,1.18045,0.61878,0.87016,0.84768,0.49189,0.69404,0.49616,0.99613,0.52928,0.82912,0.000781033,0.000781033,0.000781033
8,30208.6,1.16079,0.60565,0.86558,0.82098,0.51161,0.68622,0.48919,0.97154,0.51231,0.82536,0.000726038,0.000726038,0.000726038
9,33967,1.15012,0.59664,0.86412,0.79219,0.536,0.68767,0.4866,0.95637,0.50609,0.82445,0.000671044,0.000671044,0.000671044
10,37735.1,1.12251,0.57701,0.85962,0.8025,0.53435,0.69101,0.49335,0.9547,0.49163,0.82198,0.000616049,0.000616049,0.000616049
11,41479.6,1.11142,0.55184,0.85436,0.82841,0.53164,0.69913,0.49913,0.94849,0.48824,0.82267,0.000561055,0.000561055,0.000561055
12,45246.6,1.08911,0.53901,0.85113,0.81302,0.54059,0.69863,0.50241,0.93188,0.48045,0.82074,0.00050606,0.00050606,0.00050606
13,49048.9,1.07071,0.5287,0.84753,0.81467,0.55118,0.70286,0.50415,0.92928,0.47208,0.82073,0.000451066,0.000451066,0.000451066
14,52772,1.05002,0.51647,0.84443,0.8319,0.53794,0.70538,0.51159,0.92381,0.46624,0.81984,0.000396071,0.000396071,0.000396071
15,56385,1.03353,0.50572,0.84118,0.83502,0.54305,0.70744,0.51539,0.90607,0.45697,0.81672,0.000341077,0.000341077,0.000341077
16,59987.8,1.01602,0.49535,0.83824,0.82556,0.54936,0.70838,0.51595,0.89951,0.45217,0.81539,0.000286083,0.000286083,0.000286083
17,63586.2,0.99869,0.48614,0.83595,0.831,0.55424,0.71272,0.5184,0.89104,0.44306,0.81477,0.000231088,0.000231088,0.000231088
18,67181.5,0.98684,0.47797,0.83385,0.83299,0.55257,0.71126,0.52118,0.88635,0.4399,0.81315,0.000176094,0.000176094,0.000176094
19,70780.1,0.97197,0.46868,0.83151,0.8348,0.55078,0.71147,0.52211,0.8842,0.43616,0.81308,0.000121099,0.000121099,0.000121099
20,74379,0.95907,0.46183,0.82995,0.83505,0.55584,0.7141,0.52354,0.87981,0.43259,0.8124,6.61045e-05,6.61045e-05,6.61045e-05
